# Filter database
# 
# new filters denoted by a leading '>', with the format
#     	      '> [filter_name] [exponent scale] [source]'
# exponent scale denotes units; for example:
# 	   -10 = Anstroms
#	   -9 = Nanometers
#	   -6 = Microns
# any integer (or float) number will cause wavelength to be scaled to 10^[exponent scale]
# source is where the filter information was taken from, put something (or null for no information)

> PACS_100 -10 Null
#       lam (ang)   response
       986500.00      0.99777115
       987000.00      0.99684692
       987500.00      0.99592125
       988000.00      0.99499412
       988500.00      0.99370752
       989000.00      0.99259821
       989500.00      0.99148727
       990000.00      0.99037471
       990500.00      0.98926051
       991000.00      0.98796521
       991500.00      0.98666811
       992000.00      0.98536919
       992500.00      0.98424820
       993000.00      0.98186678
       993500.00      0.97948246
       994000.00      0.97709524
       994500.00      0.97470513
       995000.00      0.97231212
       995500.00      0.97009649
       996000.00      0.96787814
       996500.00      0.96565708
       997000.00      0.96343330
       997500.00      0.96120681
       998000.00      0.96024274
       998500.00      0.95945805
       999000.00      0.95849117
       999500.00      0.95752285
       1000000.0      0.95655308
       1000500.0      0.95521948
       1001000.0      0.95388407
       1001500.0      0.95254685
       1002000.0      0.95120782
       1002500.0      0.94986698
       1003000.0      0.94834269
       1003500.0      0.94663468
       1004000.0      0.94510631
       1004500.0      0.94339404
       1005000.0      0.94186160
       1005500.0      0.94069136
       1006000.0      0.93970166
       1006500.0      0.93852824
       1007000.0      0.93735320
       1007500.0      0.93617652
       1008000.0      0.93426803
       1008500.0      0.93235719
       1009000.0      0.93026127
       1009500.0      0.92816281
       1010000.0      0.92606181
       1010500.0      0.92414128
       1011000.0      0.92221840
       1011500.0      0.92029316
       1012000.0      0.91836557
       1012500.0      0.91643562
       1013000.0      0.91542057
       1013500.0      0.91477116
       1014000.0      0.91430429
       1014500.0      0.91383652
       1015000.0      0.91318403
       1015500.0      0.91271435
       1016000.0      0.91224377
       1016500.0      0.91177228
       1017000.0      0.91148407
       1017500.0      0.91101086
       1018000.0      0.91035240
       1018500.0      0.90913950
       1019000.0      0.90792497
       1019500.0      0.90689345
       1020000.0      0.90567575
       1020500.0      0.90464124
       1021000.0      0.90415997
       1021500.0      0.90367780
       1022000.0      0.90319473
       1022500.0      0.90289592
       1023000.0      0.90241112
       1023500.0      0.90192542
       1024000.0      0.90162426
       1024500.0      0.90113683
       1025000.0      0.90083413
       1025500.0      0.90053070
       1026000.0      0.89966914
       1026500.0      0.89880630
       1027000.0      0.89794220
       1027500.0      0.89707683
       1028000.0      0.89639636
       1028500.0      0.89571480
       1029000.0      0.89577755
       1029500.0      0.89565350
       1030000.0      0.89552890
       1030500.0      0.89540376
       1031000.0      0.89546479
       1031500.0      0.89552546
       1032000.0      0.89558577
       1032500.0      0.89583269
       1033000.0      0.89589236
       1033500.0      0.89595167
       1034000.0      0.89526160
       1034500.0      0.89438310
       1035000.0      0.89369077
       1035500.0      0.89280982
       1036000.0      0.89192761
       1036500.0      0.89104413
       1037000.0      0.88997159
       1037500.0      0.88908548
       1038000.0      0.88801013
       1038500.0      0.88693333
       1039000.0      0.88585508
       1039500.0      0.88458713
       1040000.0      0.88312921
       1040500.0      0.88166948
       1041000.0      0.88039646
       1041500.0      0.87893320
       1042000.0      0.87690201
       1042500.0      0.87467969
       1043000.0      0.87226594
       1043500.0      0.87003845
       1044000.0      0.86761936
       1044500.0      0.86538670
       1045000.0      0.86353001
       1045500.0      0.86167114
       1046000.0      0.85962067
       1046500.0      0.85775737
       1047000.0      0.85589189
       1047500.0      0.85421394
       1048000.0      0.85272379
       1048500.0      0.85142170
       1049000.0      0.84992801
       1049500.0      0.84843252
       1050000.0      0.84655491
       1050500.0      0.84372391
       1051000.0      0.84108017
       1051500.0      0.83824311
       1052000.0      0.83559348
       1052500.0      0.83275035
       1053000.0      0.83009484
       1053500.0      0.82724565
       1054000.0      0.82439337
       1054500.0      0.82153802
       1055000.0      0.81867959
       1055500.0      0.81620037
       1056000.0      0.81524835
       1056500.0      0.81448638
       1057000.0      0.81353191
       1057500.0      0.81257617
       1058000.0      0.81181077
       1058500.0      0.81046920
       1059000.0      0.80912601
       1059500.0      0.80778118
       1060000.0      0.80643473
       1060500.0      0.80508665
       1061000.0      0.80373693
       1061500.0      0.80257782
       1062000.0      0.80141726
       1062500.0      0.80025526
       1063000.0      0.79909180
       1063500.0      0.79792689
       1064000.0      0.79753129
       1064500.0      0.79848440
       1065000.0      0.79963092
       1065500.0      0.80058521
       1066000.0      0.80173310
       1066500.0      0.80268856
       1067000.0      0.80383780
       1067500.0      0.80479445
       1068000.0      0.80575163
       1068500.0      0.80690287
       1069000.0      0.80786123
       1069500.0      0.80882014
       1070000.0      0.80900449
       1070500.0      0.80918867
       1071000.0      0.80937266
       1071500.0      0.80955648
       1072000.0      0.80974011
       1072500.0      0.81011779
       1073000.0      0.81146705
       1073500.0      0.81281721
       1074000.0      0.81416829
       1074500.0      0.81552026
       1075000.0      0.81687315
       1075500.0      0.81764263
       1076000.0      0.81782789
       1076500.0      0.81801297
       1077000.0      0.81819787
       1077500.0      0.81857772
       1078000.0      0.81876235
       1078500.0      0.81797023
       1079000.0      0.81659082
       1079500.0      0.81540527
       1080000.0      0.81402268
       1080500.0      0.81283415
       1081000.0      0.81164416
       1081500.0      0.81182372
       1082000.0      0.81259093
       1082500.0      0.81316247
       1083000.0      0.81393032
       1083500.0      0.81450232
       1084000.0      0.81527080
       1084500.0      0.81623605
       1085000.0      0.81720184
       1085500.0      0.81836475
       1086000.0      0.81933172
       1086500.0      0.82049599
       1087000.0      0.82126728
       1087500.0      0.81987256
       1088000.0      0.81847622
       1088500.0      0.81707824
       1089000.0      0.81567863
       1089500.0      0.81427740
       1090000.0      0.81287453
       1090500.0      0.81245746
       1091000.0      0.81203967
       1091500.0      0.81181883
       1092000.0      0.81139968
       1092500.0      0.81097981
       1093000.0      0.81075715
       1093500.0      0.81152409
       1094000.0      0.81209328
       1094500.0      0.81266265
       1095000.0      0.81343050
       1095500.0      0.81400032
       1096000.0      0.81437184
       1096500.0      0.81295621
       1097000.0      0.81153894
       1097500.0      0.81031880
       1098000.0      0.80889837
       1098500.0      0.80747631
       1099000.0      0.80625164
       1099500.0      0.80602110
       1100000.0      0.80579003
       1100500.0      0.80555840
       1101000.0      0.80532624
       1101500.0      0.80489405
       1102000.0      0.80486027
       1102500.0      0.80622375
       1103000.0      0.80738839
       1103500.0      0.80855374
       1104000.0      0.80991976
       1104500.0      0.81108665
       1105000.0      0.81225427
       1105500.0      0.81142060
       1106000.0      0.81058583
       1106500.0      0.80974998
       1107000.0      0.80891304
       1107500.0      0.80807501
       1108000.0      0.80703525
       1108500.0      0.80659645
       1109000.0      0.80615693
       1109500.0      0.80551575
       1110000.0      0.80507469
       1110500.0      0.80463291
       1111000.0      0.80398920
       1111500.0      0.80515619
       1112000.0      0.80652528
