Monte Carlo Parameter Chain
Iteration, P, Q, Chi-Square
451 -1.103337 4.893219 1755.074831 
452 -1.229329 4.855649 1767.498226 
453 -1.020010 4.855649 1745.079481 
454 -0.714160 4.429627 1795.872643 
455 -0.408309 4.003605 1714.760878 
456 -0.595864 4.051715 1723.038279 
457 -0.541672 4.387769 1777.754788 
458 -0.503438 4.078938 1680.467189 
459 -0.465204 3.770107 1623.195448 
460 -0.251772 4.159578 1696.829560 
461 -0.543967 3.671652 1575.853918 
462 -0.836162 3.183727 1493.145146 
463 -0.770988 2.805727 1458.681337 
464 -0.705813 2.427728 1414.653903 
465 -0.607612 2.180404 1396.862282 
466 -0.509411 1.933081 1366.634227 
467 -0.150872 1.655097 1353.195563 
468 -0.150872 1.377113 1327.989168 
469 -0.150872 0.808552 1214.853422 
470 -0.150872 0.239991 1158.392240 
471 -0.095685 0.016639 1220.038088 
472 -0.040499 0.016639 1215.507910 
473 -0.040499 0.276723 1208.273938 
474 -0.040499 0.536807 1228.617271 
475 -0.040499 0.796892 1276.811976 
476 -0.040499 0.605548 1212.313877 
477 -0.063044 0.516037 1163.572681 
478 -0.063044 0.177169 1121.820564 
479 -0.063044 0.177169 1121.820564 
480 -0.063044 0.177169 1201.589576 
481 -0.063044 0.177169 1183.554339 
482 -0.063044 0.177169 1173.804666 
483 -0.063044 0.177169 1173.804666 
484 -0.063044 0.258056 1167.363959 
485 -0.063044 0.338944 1203.744662 
486 -0.217755 0.338944 1153.605161 
487 -0.372465 0.338944 1134.785852 
488 -0.476297 0.826973 1201.238621 
489 -0.553964 1.141962 1287.146912 
490 -0.149356 1.515706 1296.800493 
491 -0.149356 1.889450 1372.905203 
492 -0.473478 2.210330 1413.457291 
493 -0.976702 2.519312 1396.536143 
494 -0.920612 2.851272 1483.214673 
495 -0.864522 3.183232 1541.888632 
496 -0.806594 3.203475 1503.133021 
497 -0.452398 3.753755 1683.551062 
498 -0.575348 3.877637 1648.173544 
499 -0.153303 4.349534 1765.393348 
500 -0.100387 4.593171 1780.256827 
501 -0.100387 4.386242 1788.174456 
502 -0.100387 4.641816 1812.710332 
503 -0.100387 4.852485 1780.506105 
504 -0.139561 4.773547 1860.825734 
505 -0.130735 4.773547 1814.722529 
506 -0.130735 4.423406 1763.583533 
507 -0.430190 4.533986 1791.255958 
508 -0.729644 4.644566 1791.557353 
509 -1.301256 4.390577 1679.116237 
510 -1.519178 4.649687 1683.150693 
511 -1.732282 4.748398 1737.410180 
512 -1.945385 4.847109 1727.617425 
513 -2.086894 4.740997 1724.264828 
514 -1.913902 4.768239 1700.606537 
515 -1.892272 4.768239 1701.875462 
516 -1.870642 4.768239 1694.108472 
517 -2.628724 4.768239 1698.109206 
518 -2.670714 4.858360 1679.095015 
519 -2.712703 4.948481 1711.633704 
520 -3.069181 4.880273 1680.215604 
521 -3.406232 4.074824 1522.364083 
522 -3.743283 3.269374 1423.595647 
523 -3.375488 3.109033 1364.470794 
524 -3.007694 2.948691 1370.037607 
525 -3.167934 3.212966 1357.911226 
526 -3.328173 3.477240 1400.211682 
527 -2.563550 3.819166 1522.545002 
528 -1.798927 4.161091 1643.897162 
529 -1.585242 4.059403 1638.684773 
530 -1.409992 3.758466 1593.370015 
531 -1.234741 3.457528 1567.021750 
532 -1.650956 3.736070 1532.527207 
533 -2.067171 4.014612 1554.232451 
534 -1.953241 4.494768 1692.924042 
535 -2.235390 4.357205 1600.429439 
536 -2.517540 4.219642 1529.671522 
537 -1.790505 4.387211 1665.250706 
538 -1.799308 4.068911 1594.658873 
539 -1.808111 3.750612 1510.160548 
540 -1.840123 3.742111 1484.939776 
541 -1.872135 3.733611 1481.029417 
542 -2.034213 3.628559 1522.981579 
543 -2.056136 3.707644 1514.340973 
544 -2.078059 3.786729 1524.229714 
545 -2.070462 3.606310 1469.708760 
546 -2.062866 3.425891 1453.241560 
547 -1.553816 3.426207 1512.926346 
548 -1.478340 2.906776 1460.680591 
549 -1.402864 2.387345 1374.326654 
550 -1.795111 2.507561 1398.043237 
551 -2.187357 2.627777 1379.989832 
552 -1.625779 3.460751 1502.403631 
553 -1.064202 4.293725 1700.970773 
554 -1.206998 4.293434 1695.280386 
555 -1.184012 4.437351 1701.376817 
556 -1.161025 4.581267 1721.583201 
557 -0.740684 4.309282 1727.781688 
558 -0.645608 3.833591 1661.053349 
559 -0.550533 3.357899 1538.397694 
560 -0.488893 3.375049 1584.045995 
561 -0.439872 3.940433 1640.714558 
562 -0.390852 4.505818 1756.441040 
563 -0.419020 4.392696 1786.985916 
564 -0.419402 4.365233 1800.992246 
565 -0.307376 4.722254 1797.013194 
566 -0.205662 4.655553 1836.704079 
567 -0.636970 4.813094 1804.497977 
568 -0.829920 4.813094 1740.394278 
569 -0.593314 4.813094 1878.777293 
570 -0.356707 4.813094 1881.335045 
571 -0.549001 4.181251 1676.792371 
572 -0.261092 3.750242 1670.141243 
573 -0.339969 3.117739 1548.609371 
574 -0.418847 2.485236 1445.909170 
575 -0.728148 2.873486 1488.166431 
576 -1.037450 3.261735 1533.229377 
577 -0.655797 2.973814 1506.699626 
578 -1.281307 3.112936 1516.825450 
579 -1.906818 3.252058 1502.745122 
580 -1.896924 3.727081 1549.043824 
581 -2.260951 3.426405 1483.339925 
582 -2.624977 3.125730 1439.611369 
583 -2.321325 3.391094 1430.943538 
584 -2.017673 3.656458 1526.583261 
585 -2.264028 4.063523 1580.209691 
586 -2.060127 4.521762 1650.551956 
587 -1.856227 4.980000 1737.677665 
588 -2.178495 4.992742 1691.812798 
589 -2.200694 4.701699 1665.177661 
590 -2.222893 4.410656 1637.311796 
591 -2.091714 4.551991 1663.119604 
592 -1.391326 4.821630 1763.732081 
593 -0.690937 4.821630 1832.428465 
594 -0.605270 4.930037 1774.942013 
595 -0.514932 4.708441 1676.349063 
596 -0.514932 4.910273 1814.405501 
597 -0.265294 4.634280 1796.574732 
598 -0.755650 4.634280 1792.463270 
599 -0.722155 4.461279 1725.367404 
600 -0.688660 4.288279 1722.182182 
601 -0.550375 4.154775 1691.275176 
602 -0.948858 4.374694 1691.631591 
603 -1.438348 4.395623 1685.051497 
604 -1.223393 4.477414 1742.992549 
605 -1.191526 4.016063 1652.264540 
606 -1.666117 4.079406 1563.672683 
607 -1.921905 3.838950 1575.969631 
608 -1.930078 4.309062 1613.581304 
609 -1.938251 4.779173 1685.991906 
610 -2.189755 4.746558 1718.285755 
611 -1.769347 4.425843 1641.162219 
612 -1.348939 4.105128 1619.403874 
613 -0.859537 3.941848 1617.606065 
614 -1.170527 3.546887 1503.064710 
615 -1.481517 3.151926 1435.357246 
616 -1.679273 3.354843 1504.004377 
617 -1.770227 3.383541 1516.254519 
618 -1.861182 3.412240 1528.963001 
619 -1.813458 3.334781 1528.323001 
620 -1.765735 3.257322 1527.446505 
621 -1.689420 3.260873 1452.823287 
622 -1.616791 3.557143 1509.018048 
623 -1.722865 3.475257 1544.816742 
624 -1.527417 3.322622 1529.854081 
625 -1.331969 3.169986 1532.110196 
626 -1.234524 3.297196 1545.107789 
627 -1.137080 3.424405 1571.850768 
628 -1.088354 3.918092 1609.714187 
629 -1.204467 3.775008 1633.525989 
630 -0.930440 4.146009 1682.972147 
631 -0.790352 4.172803 1715.547584 
632 -0.826288 3.846805 1625.204847 
633 -0.484525 3.684722 1649.319856 
634 -0.142762 3.522639 1644.020717 
635 -0.115343 3.108329 1550.696956 
636 -0.436771 3.382235 1624.564504 
637 -0.758198 3.656141 1640.444401 
638 -0.445903 3.406713 1560.169779 
639 -0.792545 3.364458 1603.191335 
640 -1.139188 3.322204 1570.073608 
641 -0.430306 2.926974 1491.825852 
642 -0.430306 2.531743 1448.820907 
643 -0.573377 1.947178 1310.734542 
644 -0.716447 1.362613 1234.148366 
645 -0.252792 1.196294 1321.918402 
646 -0.252792 1.029975 1282.362275 
647 -0.238037 1.031425 1274.606552 
648 -0.223282 1.032875 1278.088131 
649 -0.188324 0.666910 1217.479902 
650 -0.153366 0.300945 1185.452783 
651 -0.118407 0.300945 1186.902877 
652 -0.118407 0.770804 1225.429281 
653 -0.118407 1.240663 1278.112272 
654 -0.072703 1.009082 1266.498490 
655 -0.026998 0.777502 1255.526008 
656 -0.026998 0.324674 1254.948344 
657 -0.026998 0.324674 1254.948344 
658 -0.026998 0.324674 1254.948344 
